ProblemSet,RavensProblem,Agent's Answer
Basic Problems B,Basic Problem B-01,1
Basic Problems B,Basic Problem B-02,4
Basic Problems B,Basic Problem B-03,0
Basic Problems B,Basic Problem B-04,2
Basic Problems B,Basic Problem B-05,3
Basic Problems B,Basic Problem B-06,4
Basic Problems B,Basic Problem B-07,5
Basic Problems B,Basic Problem B-08,5
Basic Problems B,Basic Problem B-09,4
Basic Problems B,Basic Problem B-10,2
Basic Problems B,Basic Problem B-11,0
Basic Problems B,Basic Problem B-12,0
